text
"On 2015-07-05, the mains power consumption was 141.65084668803422 units, television used 15.899276215277776 units, fan used 12.665533969907408 units, fridge used 49.356105284010056 units, and laptop computer used 17.626762030228758 units. Environmental conditions were: temperature 19.716666666666665°C, dew point 15.2125°C, relative humidity 76.33333333333333%, wind speed 14.25 km/h, and pressure 1016.9458333333332 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-18, the mains power consumption was 98.01850231481482 units, television used 0.0 units, fan used 0.0 units, fridge used 30.181120775462983 units, and laptop computer used 3.138575 units. Environmental conditions were: temperature 12.829166666666667°C, dew point 8.7375°C, relative humidity 76.41666666666667%, wind speed 42.65833333333333 km/h, and pressure 1008.6833333333332 hPa. Day: Wednesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-19, the mains power consumption was 103.54874421296296 units, television used 0.0 units, fan used 0.0 units, fridge used 31.15703483796297 units, and laptop computer used 3.0194779513888887 units. Environmental conditions were: temperature 11.420833333333333°C, dew point 7.629166666666666°C, relative humidity 77.875%, wind speed 35.25 km/h, and pressure 1009.4666666666668 hPa. Day: Thursday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-20, the mains power consumption was 107.81331828703706 units, television used 0.0 units, fan used 0.096288599537037 units, fridge used 30.836595587384263 units, and laptop computer used 4.529624131944445 units. Environmental conditions were: temperature 8.120833333333334°C, dew point 3.7666666666666666°C, relative humidity 74.25%, wind speed 25.95 km/h, and pressure 1003.6666666666666 hPa. Day: Friday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-21, the mains power consumption was 115.73041435185183 units, television used 4.379379861111111 units, fan used 0.3486349537037037 units, fridge used 29.93178138020833 units, and laptop computer used 12.744914710648148 units. Environmental conditions were: temperature 5.0875°C, dew point 3.033333333333333°C, relative humidity 86.70833333333333%, wind speed 21.0 km/h, and pressure 997.1 hPa. Day: Saturday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-22, the mains power consumption was 126.10924537037022 units, television used 0.0 units, fan used 0.1066255787037036 units, fridge used 31.834919675925924 units, and laptop computer used 12.484351145833331 units. Environmental conditions were: temperature 2.7333333333333334°C, dew point 0.5791666666666667°C, relative humidity 85.91666666666667%, wind speed 12.1 km/h, and pressure 1009.8375 hPa. Day: Sunday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-23, the mains power consumption was 120.54034143518524 units, television used 0.0 units, fan used 0.0 units, fridge used 30.972107233796294 units, and laptop computer used 10.195061400462963 units. Environmental conditions were: temperature 3.3916666666666666°C, dew point 0.9583333333333334°C, relative humidity 84.33333333333333%, wind speed 13.95 km/h, and pressure 1021.85 hPa. Day: Monday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-24, the mains power consumption was 112.98032060185184 units, television used 0.7098070601851838 units, fan used 0.1352619212962963 units, fridge used 32.30871903935185 units, and laptop computer used 1.38626244212963 units. Environmental conditions were: temperature 4.85°C, dew point 3.6875°C, relative humidity 92.25%, wind speed 28.95 km/h, and pressure 1011.3375 hPa. Day: Tuesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-25, the mains power consumption was 105.85030555555554 units, television used 0.7203778356481485 units, fan used 0.0 units, fridge used 31.12860833333333 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 6.454166666666667°C, dew point 4.720833333333333°C, relative humidity 88.625%, wind speed 12.75 km/h, and pressure 1005.95 hPa. Day: Wednesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-26, the mains power consumption was 100.2985098432438 units, television used 0.0 units, fan used 0.1181554976851849 units, fridge used 31.461289004629624 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 5.008333333333334°C, dew point 3.254166666666667°C, relative humidity 88.95833333333333%, wind speed 9.9 km/h, and pressure 1017.3416666666668 hPa. Day: Thursday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-27, the mains power consumption was 94.278336221571 units, television used 0.0 units, fan used 0.1160934606481467 units, fridge used 31.53888015046301 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 5.729166666666667°C, dew point 4.991666666666666°C, relative humidity 94.95833333333331%, wind speed 23.4 km/h, and pressure 1012.5875 hPa. Day: Friday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-28, the mains power consumption was 96.12113671814294 units, television used 0.0 units, fan used 0.3701015046296307 units, fridge used 28.61968836805557 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 6.841666666666667°C, dew point 4.1°C, relative humidity 83.29166666666667%, wind speed 32.1 km/h, and pressure 1007.8875 hPa. Day: Saturday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-29, the mains power consumption was 45.5795740363894 units, television used 0.0 units, fan used 0.0 units, fridge used 29.43678412037037 units, and laptop computer used 0.622012094907407 units. Environmental conditions were: temperature 10.466666666666669°C, dew point 7.479166666666667°C, relative humidity 82.08333333333333%, wind speed 40.65 km/h, and pressure 1004.925 hPa. Day: Sunday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-30, the mains power consumption was 63.42262836583805 units, television used 0.0 units, fan used 0.0 units, fridge used 30.073587175925944 units, and laptop computer used 3.5640855324074083 units. Environmental conditions were: temperature 9.345833333333331°C, dew point 6.008333333333334°C, relative humidity 80.625%, wind speed 36.75 km/h, and pressure 1012.35 hPa. Day: Monday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
